B1200	Кнопка климат-контроля отказ цепи
C1107	ABS Function Enabled вход отказ цепи
C1109	Скорость управление привод узел Cable Release отказ
C1110	ABS питание обмотка реле отказ цепи
C1111	ABS питание обмотка реле обрыв цепи
C1112	ABS питание обмотка реле КЗ на массу
C1113	ABS питание обмотка реле КЗ на питание
C1114	ABS питание реле выход КЗ на массу
C1115	ABS питание реле выход КЗ на питание
C1116	Starter электродвигатель отказ цепи
C1117	RPM вход отказ цепи
C1123	Датчик скорости автомобиля вход КЗ на питание
C1124	Вход shaft скорость сигнал missing/faulted
C1125	Тормоз жидкость датчик уровня вход отказ цепи
C1126	Cruise управление Command выключатель узел отказ цепи
C1127	Cruise управление Deactivator выключатель тормоза отказ цепи
C1132	Сцепление положение ckt КЗ на массу
C1133	Сцепление положение ckt КЗ на питание
C1134	Gear Shift положение КЗ на массу
C1135	Gear Shift положение КЗ на питание
